FICE,College name,State,Public/private indicator,Average Math SAT score,Average Verbal SAT score,Average Combined SAT score,Average ACT score,First quartile - Math SAT,Third quartile - Math SAT,First quartile - Verbal SAT,Third quartile - Verbal SAT,First quartile - ACT,Third quartile - ACT,Number of applications received,Number of applicants accepted,Number of new students enrolled,Number of fulltime undergraduates,Number of parttime undergraduates,In-state tuition,Out-of-state tuition,Room and board costs,Room costs,Board costs,Additional fees,Estimated book costs,Estimated personal spending,Student/faculty ratio,Instructional expenditure per student,Graduation rate
1137,California State Univ. at Fullerton,CA,1,476,395,871,21,400,540,330,450,17,23,6004,4480,1470,12147,6681,1606,8990,3476,3476,*,1606,600,*,19.9,6288,56
1138,California State Univ. at Hayward,CA,1,*,*,*,*,*,*,*,*,*,*,2121,698,1126,6790,2988,1432,8803,2550,2550,*,*,450,*,20.5,7237,47
1139,California State Univ. at Long Beach,CA,1,456,382,838,21,*,*,*,*,*,*,10278,7746,2576,*,*,1053,8233,4400,4400,*,*,*,*,20.3,5382,48
1140,California State Univ. at Los Angeles,CA,1,*,*,*,*,*,*,*,*,*,*,5609,2756,1268,9358,5222,1788,7454,2900,2900,*,119,577,*,20.4,8145,49
1141,California State Univ. at Dominguez Hills,CA,1,*,*,*,*,*,*,*,*,*,*,1493,1194,428,4246,2457,1440,8820,2116,*,2116,*,*,*,18.1,8257,24
1142,California State Univ. at San Bernardino,CA,1,440,399,839,*,370,500,340,460,*,*,2329,1619,1521,6609,4398,*,*,*,*,*,*,*,*,20.3,6654,49
1143,California Polytechnic-San Luis,CA,1,547,455,1002,21,300,700,300,600,17,26,7811,3817,1650,12911,1404,2033,7380,4877,2335,2542,20,612,2091,19.8,8453,59
1144,California Poly-Pomona,CA,1,*,*,*,*,420,570,320,460,17,24,5945,3887,1566,11177,4027,*,5904,4862,2499,2363,1720,630,2430,18.5,7867,50
1146,California State University at Chico,CA,1,479,420,899,21,420,540,370,480,18,23,4816,3922,1278,11822,1343,*,5904,5050,2020,3030,1982,612,2100,18.9,7798,63
1147,California State University at Fresno,CA,1,*,*,*,*,*,*,*,*,*,*,4540,3294,1483,13494,1254,1802,7706,4368,*,*,*,600,1926,21.2,7268,61
1149,Humboldt State University,CA,1,501,455,956,22,*,*,*,*,*,*,3467,2190,565,5637,678,1599,9979,4200,4200,*,1467,600,800,16.4,8650,65
1150,California State University at Sacramento,CA,1,476,408,884,*,*,*,*,*,*,*,4348,3026,1234,13724,8161,1716,9096,4500,*,*,*,700,*,19.2,7530,47
1151,San Diego State University,CA,1,457,394,851,20,*,*,*,*,*,*,9402,7020,2151,16407,5550,1742,8384,5110,3556,*,*,612,2400,19.5,7930,41
1153,California State University at Northridge,CA,1,444,365,809,19,*,*,*,*,*,*,7672,5331,2157,15567,7544,1440,5904,5500,*,*,1520,576,1464,20.3,6691,43
1154,San Francisco State University,CA,1,444,372,816,19,400,510,290,450,16,22,5385,3539,1259,13165,5937,1584,8964,6776,*,*,352,630,2286,17.4,7651,55
1155,San Jose State University,CA,1,467,371,838,19,380,540,300,440,16,21,5210,4094,1420,14392,7263,1976,8820,4224,1680,2544,194,350,2204,17.4,5957,46
1156,Sonoma State University,CA,1,482,486,968,22,410,540,370,500,19,25,2726,982,557,4239,1259,*,7830,5189,3348,1841,2106,610,1650,16.1,7304,40
1157,California State University at Stanislaus,CA,1,449,400,849,19,*,*,*,*,*,*,1042,830,461,2895,1678,1584,8868,5300,*,*,*,650,*,15.3,7333,*
1158,United States International University,CA,2,464,431,895,19,380,570,350,490,*,*,322,168,51,237,67,11760,11760,4225,4225,*,90,630,1836,15.7,10317,23
1164,Chapman University,CA,2,501,456,957,22,430,560,400,500,19,24,959,771,351,1662,209,16624,16624,5895,5895,*,521,600,1100,12.8,12692,47
1170,Claremont McKenna College,CA,2,670,600,1270,28,620,720,560,640,26,30,1860,767,227,887,1,17000,17000,6010,3160,2850,140,500,850,9.6,18443,87
1171,Harvey Mudd College,CA,2,740,630,1370,*,710,770,580,690,*,*,1377,572,178,654,5,17230,17230,6690,3320,3370,465,700,900,8.2,21569,100
1172,Pitzer College,CA,2,590,560,1150,26,540,630,530,610,24,29,1133,630,220,750,30,17688,17688,5900,3192,2708,1548,650,850,10.4,14820,73
1173,Pomona College,CA,2,700,640,1340,31,650,730,600,680,*,*,3037,1130,390,1500,*,17720,17720,7220,*,*,180,800,1000,8.9,20682,91
1174,Scripps College,CA,2,590,560,1150,26,540,640,500,610,*,*,855,632,139,569,7,17238,17238,7350,3500,3850,112,600,800,8.2,18372,73
1179,College of Notre Dame,CA,2,*,*,*,*,390,510,380,470,18,23,344,264,97,500,331,12600,12600,5520,5520,*,*,630,2250,10.4,9773,43
1183,Holy Names College,CA,2,450,448,898,*,390,500,400,470,*,*,258,157,43,273,317,11480,11480,5280,*,*,290,630,2034,7.8,10362,44
1196,Dominican College of San Rafael,CA,2,452,432,884,*,390,520,380,470,*,*,213,173,75,648,150,12790,12790,6100,6100,*,250,650,2250,11.6,8966,50
1215,La Sierra University,CA,2,468,420,888,20,380,520,350,470,18,23,659,530,325,1067,268,12180,12180,3885,2160,1695,195,683,2438,12.6,8294,49
1216,University of La Verne,CA,2,472,431,903,22,400,540,362,475,16,25,1597,969,226,1431,1522,13540,13540,5050,5050,*,*,630,2298,14.1,10139,47
1236,Menlo College,CA,2,447,382,829,19,370,510,320,440,*,*,315,275,115,553,9,13975,13975,6200,6200,*,690,500,*,15.4,11304,*
1238,Mills College,CA,2,520,530,1050,25,480,600,470,610,*,*,529,414,132,781,43,14100,14100,6000,*,3000,442,600,1370,10.3,14299,64
1243,Mount St. Mary's College,CA,2,506,466,972,21,430,560,390,520,*,*,657,537,113,1039,466,12474,12474,5678,5678,*,425,630,1278,11.9,10613,72
1249,Occidental College,CA,2,570,510,1080,*,500,640,440,560,*,*,2324,1319,370,1686,35,16560,16560,5140,2980,2160,334,558,1152,10.5,16196,79
1252,Pacific Christian College,CA,2,474,426,900,22,400,540,340,490,20,26,167,142,89,414,165,6500,6500,3000,3000,*,490,500,*,10.7,5612,67
1253,Fresno Pacific College,CA,2,532,476,1008,22,470,590,410,530,20,25,346,274,146,704,63,9900,9900,3670,1500,2170,174,630,1818,10.5,8095,54
1258,Pacific Union College,CA,2,*,*,*,22,*,*,*,*,19,25,940,668,385,1316,139,11925,11925,3825,1590,2235,*,630,1926,12.3,9157,69
1262,Point Loma Nazarene College,CA,2,472,425,897,21,390,540,360,490,19,23,809,687,428,1889,217,10176,10178,4190,*,*,134,800,750,16.1,7895,54
1264,Pepperdine University,CA,2,585,514,1099,25,510,630,450,550,22,28,3821,2037,680,2488,625,18200,18200,6770,3750,3020,70,500,700,11.6,16185,66
1293,Southern California College,CA,2,466,443,909,21,360,540,350,480,19,26,385,340,193,784,127,9520,9520,4124,1980,2144,340,630,1818,18.6,8219,43
1302,St. Mary's College of California,CA,2,549,483,1032,*,501,598,432,538,*,*,2643,1611,465,2615,248,13332,13332,6354,3177,3177,120,630,1584,16.1,9619,78
1305,Stanford University,CA,2,736,665,1401,31,650,750,580,690,26,33,13608,2926,1616,6573,*,18669,18669,6795,*,*,*,840,1355,9.7,33629,96
1312,University of California at Berkeley,CA,1,654,564,1218,*,590,730,500,640,*,*,19873,8252,3215,19532,2061,3949,11648,6246,*,*,*,636,1933,15.8,13919,78
1313,University of California at Davis,CA,1,585,485,1070,24,520,650,420,560,21,27,16343,11399,3124,15429,1888,*,7699,5285,*,*,4374,841,2374,14.5,15873,76
1314,University of California at Irvine,CA,1,574,455,1029,*,510,640,390,510,*,*,15698,10775,2478,12677,864,4325,12024,5302,*,*,*,790,1818,16.1,15934,66
1315,University of California at Los Angeles,CA,1,621,520,1141,*,558,700,460,590,*,*,22165,10435,3591,21637,1255,*,7689,5580,*,*,3894,850,1255,11.8,20260,77
1316,University of California at Riverside,CA,1,542,440,982,23,470,620,360,510,19,25,9798,7566,1470,6922,265,*,7699,5430,*,*,4092,780,1350,13.4,12528,62
1317,University of California at San Diego,CA,1,616,515,1131,26,560,680,460,570,23,28,19433,11469,2481,13738,711,*,7699,6607,*,*,4128,630,1935,13.9,17674,66
1320,University of California at Santa Barbara,CA,1,547,459,1006,*,520,610,400,490,*,*,16663,14141,3239,15638,693,*,11218,5990,*,*,4372,630,2045,18.9,9475,69
1321,University of California at Santa Cruz,CA,1,554,505,1059,*,490,620,440,580,*,*,10758,8559,1717,8713,607,*,7699,6081,6081,*,4110,633,1191,21.3,10860,59
1322,University of Redlands,CA,2,*,*,*,*,470,610,450,540,21,26,1498,1219,306,1369,1587,16530,16530,6205,2795,3410,405,600,*,8.9,10685,73
1325,University of San Francisco,CA,2,514,463,977,21,450,590,390,520,20,25,2306,1721,538,4309,549,13226,13226,6452,3846,2606,100,750,2450,13.6,10074,62
1326,Santa Clara University,CA,2,*,*,*,*,520,630,440,540,*,*,4019,2779,888,3891,128,13584,13584,5928,5928,*,396,630,1278,13.9,10872,100
1328,University of Southern California,CA,2,592,498,1090,25,520,660,430,570,22,28,12229,8498,2477,13259,1429,17230,17230,6482,3566,2916,330,600,2210,11.4,17007,68
1329,University of the Pacific,CA,2,531,444,975,*,460,620,400,540,*,*,2459,1997,582,2664,299,16320,16320,5326,*,*,330,646,1171,11.2,13706,65
1341,Westmont College,CA,1,550,501,1051,24,480,620,450,550,22,26,950,713,351,1276,9,14320,14320,5304,3080,2224,866,490,1410,14.9,8837,87
1342,Whittier College,CA,2,507,454,961,*,430,580,390,510,*,*,1681,1069,344,1235,30,16249,16249,5699,5699,*,579,500,1998,13.6,11778,52
1343,Woodbury University,CA,2,441,381,822,20,380,500,320,430,17,22,349,313,111,765,191,13020,13020,5490,*,*,840,900,2160,13.5,6944,54
2741,University of Judaism,CA,2,551,489,1040,*,510,620,420,600,*,*,52,36,18,88,12,10560,10560,6200,*,*,428,825,2325,7.2,31012,55
3948,San Francisco Art Institute,CA,2,*,*,*,*,*,*,*,*,*,*,177,136,41,438,103,14500,14500,5600,5600,*,*,1200,1620,14.4,9742,30
7993,California State Univ. at Bakersfield,CA,1,450,392,842,21,*,*,*,*,*,*,941,643,415,2571,1263,1204,8725,3475,*,3475,914,300,*,13.4,*,24
10395,University of San Diego,CA,2,548,490,1038,*,500,600,450,520,*,*,3934,2735,886,3698,217,13600,13600,5940,*,*,100,630,1820,15.6,10813,66
10448,Thomas Aquinas College,CA,2,589,583,1172,*,*,*,*,*,*,*,125,87,67,208,*,13400,13400,5200,*,*,*,300,1400,10.9,11513,71
11649,Loyola Marymount University,CA,2,549,485,1034,*,480,600,420,530,*,*,3768,2662,753,3558,436,13592,13592,5916,3276,2640,176,545,1328,14.2,11677,84
29059,Concordia University,CA,2,485,420,905,22,400,570,360,490,19,24,688,497,144,641,101,10800,10800,4440,2520,1920,690,570,1515,13.1,8415,55
1345,Adams State College,CO,1,*,*,*,21,*,*,*,*,18,24,1508,1259,569,1922,232,1386,1672,3730,1820,1910,374,520,2200,27.9,3897,60
1347,Colorado College,CO,2,*,*,*,*,560,670,510,620,25,30,3207,1577,490,1892,7,17142,17142,4190,2114,2076,120,450,1200,11.3,14664,84
1349,University of Northern Colorado,CO,1,480,440,920,22,420,540,380,480,19,24,5530,4007,1697,8463,1498,1829,7731,4128,*,*,398,540,2286,21.5,6309,40
1350,Colorado State University,CO,1,545,479,1024,25,490,610,430,540,22,27,9478,6312,2194,15646,1829,2124,8412,4180,4180,*,585,470,1800,19.2,7850,59
1353,Fort Lewis College,CO,1,*,*,*,*,*,*,*,*,*,*,3440,2823,1123,3793,486,1450,6198,3320,1820,1500,327,500,2500,19.1,4362,46
1358,Mesa State College,CO,1,451,400,851,20,*,*,*,*,16,25,1584,1456,891,3471,911,1434,5016,3798,1782,2016,380,540,2256,28.8,3871,59
1360,Metropolitan State College,CO,1,448,407,855,20,380,510,330,460,17,22,3512,2975,1662,9544,8177,1494,5790,*,*,*,129,500,1205,21.1,4400,25
1363,Regis University,CO,2,487,442,929,22,*,*,*,*,*,*,1107,904,308,1142,27,12700,12700,5480,2700,2780,60,520,1170,14.8,*,53
1365,University of Southern Colorado,CO,1,480,428,908,20,400,530,330,460,17,23,1401,1239,605,3716,675,1644,7100,4380,1756,2624,324,540,2948,19.4,5389,36
1369,United States Air Force Academy,CO,1,*,*,*,*,620,700,520,600,*,*,9557,1605,1160,4236,*,*,*,*,*,*,*,*,*,8.2,35754,88
1370,University of Colorado at Boulder,CO,1,*,*,*,*,500,630,440,540,22,28,14063,9320,3436,18465,1541,2230,12563,3811,3811,*,459,540,2319,19.9,8703,66
1371,University of Denver,CO,2,540,470,1010,24,470,590,430,540,21,27,2974,2001,580,2666,554,15192,15192,4695,4695,*,330,400,1350,15.9,11762,67
1372,Western State College of Colorado,CO,1,470,420,890,21,400,520,360,470,18,22,2702,1623,604,2315,146,1819,5918,3755,1936,1819,507,500,2050,19.4,4599,52
4509,University of Colorado at Colorado Springs,CO,1,*,*,*,*,450,570,400,510,21,26,826,620,318,2570,1569,2475,8090,5544,*,*,*,540,2888,15,6236,*
6740,University of Colorado at Denver,CO,1,529,478,1007,23,*,*,*,*,*,*,1199,562,261,3805,2728,1828,9244,*,*,*,240,520,2138,18.1,7996,24
9401,Colorado Christian University,CO,2,445,422,867,21,*,*,*,*,*,*,735,583,310,1001,65,6720,6720,3480,3480,*,550,400,3725,8.6,4588,*
1374,Albertus Magnus College,CT,2,460,430,890,23,*,*,*,*,*,*,353,340,103,416,230,13290,13290,5720,5720,*,200,500,1500,11.5,8861,63
1378,Central Connecticut State University,CT,1,457,414,871,*,400,510,370,460,*,*,4158,2532,902,6394,3881,1842,5962,4444,2384,2060,1298,500,985,16.7,4900,49
1379,Connecticut College,CT,2,*,*,*,*,550,656,517,626,*,*,3035,1546,438,1630,232,18740,18740,6300,2935,3365,210,600,500,10.7,14773,91
1380,Western Connecticut State University,CT,1,*,*,*,*,*,*,*,*,*,*,2486,1503,528,2818,1861,1842,5962,3936,2174,1762,1218,*,*,15.5,5920,*
1385,Fairfield University,CT,2,560,498,1058,25,510,610,450,540,*,*,4784,3346,781,2984,1037,15000,15000,6200,6200,*,310,700,1100,15.1,11220,94
1397,University of New Haven,CT,2,495,434,929,*,450,580,400,550,*,*,1651,1412,336,1411,1914,10600,10600,5020,3120,1900,200,500,*,15.6,7033,79
1401,Teikyo Post University,CT,2,*,*,*,*,*,*,*,*,*,*,345,297,92,570,1273,11300,11300,5400,5400,*,250,400,1000,12.2,9310,*
1402,Quinnipiac College,CT,2,*,*,*,*,440,570,410,550,18,24,3712,2153,806,2677,714,12030,12030,6140,6140,*,590,1000,500,12,8847,86
1403,Sacred Heart University,CT,2,480,420,900,*,440,540,400,490,*,*,2307,1896,509,1707,1889,11070,11070,5780,4090,1690,320,400,600,14.8,7120,82
1406,Southern Connecticut State University,CT,1,430,400,830,*,360,480,350,450,*,*,3852,2652,1044,5892,2478,1842,5962,4796,2180,2616,1190,700,*,15.8,5245,45
1409,Saint Joseph College,CT,2,*,*,*,*,400,530,400,500,*,*,292,241,96,543,712,12200,12200,4600,2200,2400,200,650,950,11.2,8680,76
1414,Trinity College,CT,2,*,*,*,*,570,670,510,610,23,29,3058,1798,478,1737,244,18810,18810,5690,3540,2150,780,500,680,10.4,18034,91
1415,United States Coast Guard Academy,CT,1,644,542,1186,*,600,700,540,610,*,*,5099,466,277,930,*,*,*,*,*,*,*,*,*,8.3,36704,71
1416,University of Bridgeport,CT,2,489,422,911,*,370,520,350,480,*,*,598,441,153,527,312,12500,12500,6810,3700,3110,624,500,500,7.9,*,51
1422,University of Hartford,CT,2,506,457,963,*,450,560,400,500,*,*,5081,4040,1194,3768,1415,14220,14220,6000,2300,3700,690,500,1440,10.7,10625,66
1424,Wesleyan University,CT,2,660,620,1280,29,610,710,570,670,*,*,4772,1973,712,2714,27,19130,19130,5600,3290,2310,660,1400,1400,12.1,16262,92
1425,Eastern Connecticut State University,CT,1,444,411,855,*,*,*,*,*,*,*,2172,1493,564,2766,1531,1842,5962,4316,2436,1880,1513,650,500,16.9,5719,50
1426,Yale University,CT,2,*,*,*,*,650,750,600,710,*,*,10705,2453,1317,5217,83,19840,19840,6510,3040,3470,*,630,2115,5.8,40386,99
29013,University of Connecticut at Storrs,CT,1,551,481,1032,*,490,610,430,530,*,*,9735,7187,2064,12478,1660,3824,11656,5072,2552,2520,888,700,2300,16,10178,71
1434,American University,DC,2,583,550,1133,*,530,625,500,610,*,*,4613,3587,1048,4545,873,15934,15934,6400,2440,3960,210,450,800,13.6,11803,69
1437,Catholic University of America,DC,2,*,*,*,*,490,610,460,570,22,28,1754,1465,505,2159,211,13712,13712,6408,3622,2786,460,526,1100,9.3,12751,75
1443,Gallaudet University,DC,2,*,*,*,*,*,*,*,*,*,*,825,645,392,1541,221,4700,4700,5400,3100,2300,330,663,2343,6.6,24182,*
1444,George Washington University,DC,2,*,*,*,*,530,650,490,600,24,29,7875,5062,1492,5471,1470,17450,17450,6328,3998,2330,720,700,950,7.6,14745,72
1445,Georgetown University,DC,2,*,*,*,*,600,690,540,650,26,31,11115,2881,1390,5881,406,18300,18300,7131,2590,4541,156,670,1700,7.2,19635,95
1448,Howard University,DC,2,457,426,883,20,390,510,360,470,17,22,9776,3164,1666,6705,874,7128,7128,3750,2050,1700,615,300,*,7.5,18287,46
1452,Mount Vernon College,DC,2,440,402,842,20,*,*,*,*,*,*,149,70,61,203,138,13780,13780,6915,3107,3808,500,500,500,5.7,13844,*
1460,Trinity College,DC,2,470,480,950,22,410,510,420,550,18,25,247,189,100,309,639,11412,11412,6430,2900,3530,150,500,900,8.3,11806,96
29100,Univ. of the District of Columbia,DC,1,*,*,*,*,*,*,*,*,*,*,3895,3866,1717,3658,6327,974,3566,*,*,*,115,1550,*,11.7,*,*
1428,Delaware State College,DE,1,*,*,*,*,*,*,*,*,*,*,2611,1845,764,*,*,4878,4878,3810,2210,1600,110,*,*,13.7,9432,26
1429,Goldey Beacom College,DE,2,486,425,911,*,*,*,*,*,*,*,633,468,284,823,963,6120,6120,2985,*,2985,*,531,1830,27.6,6081,36
1431,University of Delaware,DE,2,*,*,1035,*,500,610,450,530,*,*,14446,10516,3252,14130,4522,3690,10220,4230,2280,1950,410,530,1300,18.3,10650,75
1433,Wesley College,DE,2,413,387,800,*,350,450,340,420,*,*,980,807,350,872,448,9890,9890,4674,2450,2224,405,500,1350,14.4,6243,84
7948,Wilmington College,DE,2,*,*,*,*,*,*,*,*,*,*,1275,1275,635,615,1047,5340,5340,*,*,*,50,400,2000,12.5,5992,56
