displacement,weight,acceleration,cylinders
225,3651,17.7,6
250,3574,21,6
250,3645,16.2,6
258,3193,17.8,6
97,1825,12.2,4
85,1990,17,4
97,2155,16.4,4
140,2565,13.6,4
130,3150,15.7,4
318,3940,13.2,8
120,3270,21.9,4
156,2930,15.5,6
168,3820,16.7,6
350,4380,12.1,8
350,4055,12,8
302,3870,15,8
318,3755,14,8
98,2045,18.5,4
111,2155,14.8,4
79,1825,18.6,4
122,2300,15.5,4
85,1945,16.8,4
305,3880,12.5,8
260,4060,19,8
318,4140,13.7,8
302,4295,14.9,8
250,3520,16.4,6
231,3425,16.9,6
225,3630,17.7,6
250,3525,19,6
400,4220,11.1,8
350,4165,11.4,8
400,4325,12.2,8
351,4335,14.5,8
97,1940,14.5,4
151,2740,16,4
97,2265,18.2,4
140,2755,15.8,4
98,2051,17,4
98,2075,15.9,4
97,1985,16.4,4
97,2190,14.1,4
146,2815,14.5,6
121,2600,12.8,4
80,2720,13.5,3
90,1985,21.5,4
98,1800,14.4,4
78,1985,19.4,4
85,2070,18.6,4
91,1800,16.4,4
260,3365,15.5,8
318,3735,13.2,8
302,3570,12.8,8
231,3535,19.2,6
200,3155,18.2,6
200,2965,15.8,6
140,2720,15.4,4
225,3430,17.2,6
232,3210,17.2,6
231,3380,15.8,6
200,3070,16.7,6
225,3620,18.7,6
258,3410,15.1,6
305,3425,13.2,8
231,3445,13.4,6
302,3205,11.2,8
318,4080,13.7,8
98,2155,16.5,4
134,2560,14.2,4
119,2300,14.7,4
105,2230,14.5,4
134,2515,14.8,4
156,2745,16.7,4
151,2855,17.6,4
119,2405,14.9,4
131,2830,15.9,5
163,3140,13.6,6
121,2795,15.7,4
163,3410,15.8,6
89,1990,14.9,4
98,2135,16.6,4
231,3245,15.4,6
200,2990,18.2,6
140,2890,17.3,4
232,3265,18.2,6
225,3360,16.6,6
305,3840,15.4,8
302,3725,13.4,8
351,3955,13.2,8
318,3830,15.2,8
350,4360,14.9,8
351,4054,14.3,8
267,3605,15,8
360,3940,13,8
89,1925,14,4
86,1975,15.2,4
98,1915,14.4,4
121,2670,15,4
183,3530,20.1,5
350,3900,17.4,8
141,3190,24.8,4
260,3420,22.2,8
105,2200,13.2,4
105,2150,14.9,4
85,2020,19.2,4
91,2130,14.7,4
151,2670,16,4
173,2595,11.3,6
173,2700,12.9,6
151,2556,13.2,4
98,2144,14.7,4
89,1968,18.8,4
98,2120,15.5,4
86,2019,16.4,4
151,2678,16.5,4
140,2870,18.1,4
151,3003,20.1,4
225,3381,18.7,6
97,2188,15.8,4
134,2711,15.5,4
120,2542,17.5,4
119,2434,15,4
108,2265,15.2,4
86,2110,17.9,4
156,2800,14.4,4
85,2110,19.2,4
90,2085,21.7,4
90,2335,23.7,4
121,2950,19.9,5
146,3250,21.8,4
91,1850,13.8,4
85,1835,17.3,4
97,2145,18,4
89,1845,15.3,4
168,2910,11.4,6
70,2420,12.5,3
122,2500,15.1,4
140,2905,14.3,4
107,2290,17,4
135,2490,15.7,4
151,2635,16.4,4
156,2620,14.4,4
173,2725,12.6,6
135,2385,12.9,4
79,1755,16.9,4
86,1875,16.4,4
81,1760,16.1,4
97,2065,17.8,4
85,1975,19.4,4
89,2050,17.3,4
91,1985,16,4
105,2215,14.9,4
98,2045,16.2,4
98,2380,20.7,4
105,2190,14.2,4
100,2320,15.8,4
107,2210,14.4,4
108,2350,16.8,4
119,2615,14.8,4
120,2635,18.3,4
141,3230,20.4,4
121,2800,15.4,4
145,3160,19.6,6
168,2900,12.6,6
146,2930,13.8,6
231,3415,15.8,6
350,3725,19,8
200,3060,17.1,6
225,3465,16.6,6
112,2605,19.6,4
112,2640,18.6,4
112,2395,18,4
112,2575,16.2,4
135,2525,16,4
151,2735,18,4
140,2865,16.4,4
151,3035,20.5,4
105,1980,15.3,4
91,2025,18.2,4
91,1970,17.6,4
105,2125,14.7,4
98,2125,17.3,4
120,2160,14.5,4
107,2205,14.5,4
108,2245,16.9,4
91,1965,15,4
91,1965,15.7,4
91,1995,16.2,4
181,2945,16.4,6
262,3015,17,6
156,2585,14.5,4
232,2835,14.7,6
144,2665,13.9,4
135,2370,13,4
151,2950,17.3,4
140,2790,15.6,4
97,2130,24.6,4
135,2295,11.6,4
120,2625,18.6,4
119,2720,19.4,4
